sha256,modify num,add_edge,rewiring,add_node,delete_node,node num,edge num
0C0ED474266597305DE77BA97742FD2F1100EBF01E3F74F538DC745C75CA3052,1,0,1,0,0,917,3242
0DD696CAE9F5FC107BAC087165A9FB11CD30349541C80780294EBCD4AD86E64A,1,0,0,1,0,761,2355
0E053D49D46D8566575C06F15DA7A33A451AFC2E53DC43CA40FCAAA6F1229220,1,1,0,0,0,1399,5348
0E1D26E0C112417A5B1B1062C4B04FBABA0A300A70E3774D46B5A353AB4F5A67,1,0,0,0,1,729,2715
0F7A047F376F8F8F7240FA6330196D217BBAC34DFF5C3FFCC4B3E7A8D1689D43,1,0,1,0,0,583,1959
10A612C88FCD6D2790ED85047325209F514C6AAAAB72DBD4A5922B51C1BE4687,1,0,1,0,0,503,1927
11BAC59332225614E5D464F1CED87BB2AE0FE71EB4FD2D4EC734BA51071C85E2,1,0,0,1,0,2468,11562
11D914F92CB565C28BAD2F63D9776774DFFA23C14AF70AD77DEA02971F58953B,1,0,1,0,0,1371,4965
1237FEBE3D00AB2F73AE440450CF20477FBDF529A0452AA022FEAF554C09DAB9,1,0,0,1,0,3203,14812
127E98C961AE8EC70E060D39E543A14848640F87395A97EEE420603F43253B21,52,0,2,49,1,2457,11507
138043DF6184026DDFCF4BBFFCF730FBAB1FA535F67AB47923A0D630F3E25D4D,46,0,0,46,0,1030,3365
13B506EC67A6920465F88F446EC5EC3C7ACCAA0783EB263CE51F90651325F837,1,0,0,1,0,2626,11656
14B5232E97959AB69199272C87D70F392F39935D19276BEBA9AB976D1E50FAFB,1,0,0,1,0,1861,7899
15332577806A988740428D43787754160C83488E55422F2E0DDA054C39A042E4,1,0,0,1,0,917,3242
16A987CC05CE83641C087FD540A06AA72921207FB8DA22F2E00C20D7F0CF9864,1,0,1,0,0,865,2812
16EC3052996E1C3C9FA434DE50EA95CACF078756F0D2E8CE1510F48FC92C6D19,1,1,0,0,0,850,3035
17324DA99A381B6070B64BE1F3364FF7C6CEAA8EA693CE4AB18FC12310352497,1,0,0,0,1,597,1342
173455BF5C52FEEF5BF9FBA8B2708EAE3D97EDDCDF471C2A3480CDE199E63A1F,9,0,7,0,2,496,2714
1765958F502BC395F73C7125D388D7AFB25E272D823B1EDBFFE40E5832797462,1,0,0,0,1,651,1966
176B7461C20D89273DD59C28C02C3F6184500A19F685ACF781CC0994123F7D2E,1,1,0,0,0,489,1679
17B815C2834B269842B5413422FBAFDCDCBB5743708066E471E70B44F7B449ED,1,0,0,0,1,729,2713
194A366FEDC12698B8CB3975491D00D84A4AC27E5C3521A5BC48B93065388C53,1,1,0,0,0,2532,9489
1968E8AC04E65E6C200EDA249B5B92F836DDBCAF5ABCFFFED1C2E04B471E6895,1,0,1,0,0,1053,3475
1A034BC86DFE0C52F668CA7405CD98EAF0F558E374E8A92E8203C5374C4D869D,16,0,0,16,0,1068,2832
1A22E37C470583965185CC742A95582239DA5E27153EEE38452756ECD0E9614D,1,0,1,0,0,1158,5181
1A9E38BFD572C55DC28EDB95432EB80B63BC18D18302098C1E6101AF800FBA0F,1,0,1,0,0,541,1243
1C9BDBD26F76A752ADE741C77A74A8255C4AB9C5974856AF27BEF98F644B25EA,1,1,0,0,0,1426,6052
1CE4BD7C5E9633E073007CE4CB244F68140861F4B6318F1BF2FD05F8D00D1CEE,12,0,1,10,1,433,1235
1D6C8AA33F7463A69B3D571E58E224560C7103259B972500DBD8A45C05BBCCD5,1,0,0,1,0,1202,6077
1DA4D69FD2AB764B74837E8B57F044C9BD920306A65EA069CAF92DA455F93E0D,1,1,0,0,0,482,1483
1E06FD3B157645291CA49E4D23A31360A113EAC33DF97C65C3C34EA0CD9A25AF,5,0,1,3,1,1425,3925
1E12ED5CDB5A0D10AD54477AB57CFEB6A7E86AA853AE723FA3E0D1B04A3C79E0,1,0,0,1,0,799,3020
1E323A0CFFF45643DCD5422FEF5E4178F92DAFA1710ECD9F0F0704ECF7842DDA,1,0,1,0,0,717,2788
1E341639E3C17477C5E12EEA342DE30CAE7893BC27B576EE13A0FC0D0406B395,1,0,1,0,0,936,3384
1E3C80FA4B9BEDB25E290B8F6EEC848CB84B8E7281CB33B5B45234987899237D,1,0,1,0,0,4337,21815
1E689C4282E5EFDDB9D834A33C7446D8195B5CE841F20E7C04908AF24ED919AE,1,0,0,1,0,1319,4826
1E8A9143F243A2DC238344069A50F1FE44648C0C6A9746F7F54D785D0BAB2F24,1,0,0,0,1,806,2171
1EB5A1283C4E2804F4CC92035A5E1F085CA33AE6BA440C94F728D80F32B6373C,31,0,0,2,29,395,1061
1ECDD4DBD954A0A0DEA7E797E0C77E2D2E6C765F89263AC63A2C442F47C254B5,1,1,0,0,0,729,2713
1F06E6AF85AC0403D5D9AD4913A220119314C9BC53E497F7885C3CD131C454CB,1,0,0,0,1,1231,3980
1F904BC428FAB07319096E2FFEEFE54B5101A8BE6656C25DF376DB835456CB9E,1,0,1,0,0,3761,19645
20164576E6C87A283E428B12A6F0F2DB3685273F4BA9271244E455B657CC3960,1,0,0,0,1,1405,4893
20C9E2B8E94EB46F1B180AE426E1D9D3E0447D708742A25EC0DA925C655F2D5F,1,0,0,0,1,1231,5153
20CA3370624ADDD47EBF50D1D9E87ED5E48AD6F5C4F3B2325137C78C9389A9F9,1,0,0,0,1,2366,10210
21501A64946D5C694474672E8B8877E26CBE6DF265EB8EAA3D4D6B2980E3CB47,2,0,1,0,1,861,2694
217B23B18C95A0AB069437EF02D20CF97D0C0AB31BB1EC277FDBC04DA3B3E2AE,1,0,0,1,0,1285,5053
21DCD1E987B427AFE796536B6674B8BF1D3E5EB8A0856F069CB9FD6B2360B4D9,1,0,0,0,1,1405,4893
23120BFDDFC41DB8DB2ABDF98CBBF7B4C9A7F6BF361CE2444BEFAE6CDA427AC9,1,0,0,1,0,1596,4887
23E2E8C3F947BE08882811DAACF86FB086CE26AD8831982745B81A65B465D5EF,1,0,0,0,1,729,2713
243A90BE3577D7E62D7C4895EA0644B6B9FA51A0187B8713219FF0822E90E3FC,1,0,0,0,1,1067,3614
2448EEBA32C440B78BC55F0817A9D55C0CB4F965258B82373ED538C6C3B8CA9D,1,0,0,0,1,815,2912
24BEF243309217E0423A5C4936425BF7433040B4845E66C36A5745DD3FF62130,1,0,1,0,0,2258,9115
273E6E873D9AC8B5BC3B3CECFF3D6CB5F34ADE804F7D3719E4D0A117CBB0A235,1,0,0,0,1,733,2378
27E7182937B196A1F4DA4BD4835033C4CF011AD460D1B43882A5B6165BEAE765,1,0,0,0,1,795,2630
285ECE22D6268804CF8D26323F3DDC1348ABF612BAA48A706BD6E5D0F92E0C5D,1,1,0,0,0,1092,4683
28981E6F571CAE05A6E6E253E5CE3F6805754E4EA18073C45F8990AA51086568,1,0,0,1,0,850,3035
295E84DEBE2F947898ADAF8B15C33E16D79B6CC506EFFA8318495630DEDB751C,1,0,0,0,1,1236,5091
298AA16DCC66F15DD399CF9F1BD16F24FBF89C50D4EE121ED9E19549DDF1A802,66,6,52,6,2,1542,6305
2A40CD864AA72862B91D976590A926B39AC9338765E0A41277C59B1F0F9288B4,1,0,1,0,0,1231,5153
2A65577A02C2978E25CB60E725E7F17CCEC0CDEC9B5A22EDBE2DFC82DD29FE66,1,1,0,0,0,1231,5153
2B145776F50F2E38A1DE7F172D6B4ED232385F91FAAB4BE2A604668F7FFF14F1,1,1,0,0,0,1552,6386
2E76FAD01F9B86E7A21541B3231CE0509E1858EA7CFC50B9D5BEAB1B20B7D22A,1,0,0,0,1,1934,8492
2E953FACEB1EFDCC982FDD8657995884E0BC8FEFAFE1658782621EB248C26576,37,2,0,34,1,885,2622
2EB80B3544584A61A3636B17445DBBB0A76D061BC92235A59974787A1320B9C3,1,0,1,0,0,1198,4335
2EC9FCB4BC0D688612F7C1446656904B4887BAFF7A750B42F03288CC4A8B800B,1,0,0,1,0,1130,4547
2ED85E9C68A2F18C4E3549FBAD17EB7BAF88544D241BDE194EF5633BCBF0B1CE,1,0,0,0,1,303,579
3105C06E370389A8F915E45BE1A365F1C14406266E2C675FBA815BFE32E71351,1,1,0,0,0,232,581
31B2017D693C5F3969002857F687B324EF5FD6560F4A987BD7E4C71C4BA4B74D,1,1,0,0,0,1071,3467
31C5FB3C93B9A8B52257EB9D0A96ED4A851A1C1EA50E0C2A4FBFFC4C89C8AB8A,1,0,0,1,0,2588,11671
327ED0DC643239F9371E3C68EFB42E22CFF55D3BA761F827C2F4F66800598A37,1,0,1,0,0,1053,3475
32BCCA7D3C8AE6BB5B0B74BF72697F568A4C8A89E47189C4E8C2E46173CC4064,1,0,0,1,0,1138,5120
32DAB24E2D3666F0791A24EDEEBD93711D27E52FA711BBF1AAF4F79C4052FF65,63,58,0,4,1,971,3293
32ECD80828B0E1A369FB5730A38AEFF4DB65D834543A0A27D907A927FE7D76AB,1,0,0,1,0,1071,3467
33886FD9A71AC3B23E329AAEEB6FDADE24FCB6F3B0FEB2590D7CBE720BD0028A,1,1,0,0,0,946,3878
34207FC5687363E0C41B36923C754FE5C294C47B9F031E1D6299BB458055771B,1,0,0,1,0,728,2709
342F2C415FD1DB2A56A7BEDD973BC94030C733F19F413B177A0C28C23EDD788D,1,0,0,0,1,674,2089
342FA086C5C3E92CCE4C92F2791311A8919C48BE2F20C35AFA789E6330E7AB16,1,1,0,0,0,2469,11779
3464983E193F070293BA815B1D7FE3559898633C3AF8AE3F1B15FC1ABF0F3B3C,1,1,0,0,0,811,3126
35B47F309969D9BE06D9DB37B003B20261B1F488B8755FC2027DE1996EDADAED,1,0,0,1,0,1084,5250
