sha256,modify num,add_edge,rewiring,add_node,delete_node,node num,edge num
08910CC3525874E0877B585CFEB325FFC9557B3E38345DD46713F5B2308293FF,1,0,0,0,1,3380,12840
0892F46038F910C5F73D938AC7142D11811324A0DB8C41212E128A78E3CEB387,1,1,0,0,0,662,2501
08B484A5A8644EDEB4319074D428DCE759E9421361B2FE6F01ED9B6922CD30F0,1,0,0,0,1,1612,5916
08B9A3C80AB65533A4D3AC8D9D1445F8197F254217312F3E8499EFBEF807A3C4,1,0,1,0,0,1597,7580
08BE0531F2D742BF16BED8C3D5355D0692AFD2573809FBC3FDE55A0A98F92BA1,1,0,1,0,0,1337,5313
08DB48EDFF1AAF898D1D809F9E94A743CC56AECA575EF9B926DB00177E55F801,1,0,0,0,1,1604,6776
08EA4778804E812D70838AAFD4908AE8B1BA72DC7EB99D1B40A3C39E1E58EA6B,1,0,1,0,0,2188,8862
08F45236FA586619B6383E19C96FA67C1CCEBD6B6CBD91FFDB5A419CC0C4F39F,1,0,1,0,0,2503,9401
08FAAD9A03AE67D52A9F0595FCC5021CEA3F6CFDA2456D6F7B88DB5146C3BBF2,1,0,1,0,0,1590,7565
0927C3B6BB6235DE650296EE8758838EA54673FE6C80E63CFEEB1D5471D17D68,1,0,0,0,1,1508,5488
095841BD323C3FD0C6282B2D480DEEDFF8DC3D144F2D858FC5C3F75017236F45,1,0,0,1,0,2253,9778
0984957F23B8B1A46F01B6EA9E11F9F685ACB71F05ED6F4007A42F9B480B20CF,1,0,0,1,0,1590,7565
098DF053BE139447C458B0F25823746B6E3F30B0BB1E5F30A85B7DADF12A1EE5,1,1,0,0,0,1597,7580
09A0987613E13A546371964EA56A774DC5E181BCDEEFD4AE95E66045F76AD3E3,1,1,0,0,0,1833,9354
09B59E68553A59E018E8DD1ADBF40B2B19FB7F48703BE5D78ADAFB2137FA3E0F,1,0,0,1,0,2857,10072
09DEBB16445B44A7233169AF6302DF3ED006C90578075E8CAAD0D6BA7DDB271A,1,0,1,0,0,1946,8525
0A0EFB8B5C3052DD4E8B4F1CDFC4CD272AA920A01841F10DEF5C9B3BDB7062F5,1,0,0,1,0,1506,7475
0A34BF4FC9D237419C69980A5DE9CEFC4B32EE017BAAF51EB7254A83DBA004D7,1,1,0,0,0,428,1011
0A5ED5351D18F2BA1A98D1DBB0E1762FDD4479D6A603A6623D028DD76E3F1A8A,1,0,1,0,0,1508,7109
0A75CE7D83FC9E144C3508927EF851FAFA293ACFE08F32CED4F7DD85009CFF9C,1,0,0,0,1,2896,14427
0A95360953CB7C7F94EDC7B50E7F65CDCA3CB49A1295DA2F94CCE0486440DAAE,1,0,0,0,1,1122,3316
0ACC4366FFC17ABF8C5B57E39036F3118B0BA989F8D9C79AA052D9CCD97DDA69,1,0,1,0,0,3455,14418
0AEE774AE5E7A595486C3108AC8C327F5A06751FA69D85FA0625F7ACFB8D5AAC,1,0,0,1,0,3052,13316
0B22FDECA62DCF171DD3017B108ACCEF5EC7A066802015DF7D729BAB1D13A0A5,1,0,1,0,0,1597,7580
0B2F592552F87F3A2339CEBEDB4C1E6B3333C70DCE221D3E2DC1BE85399BA779,1,0,1,0,0,806,2812
0B40DC5FFEF56C4999C95D0A54A2C714764FD2CAE5588D228F5179FFF75C1218,1,0,0,0,1,2685,10362
0B4B9141E64D131B9EF61F692EAA9367A770706CB4C8EEF3988652BB29080F34,1,0,1,0,0,661,2190
0B9B929C8CBFF8D2267D09AB4675574905C9B958DD7885DD084D0075C8F0BDC1,1,0,0,0,1,2009,8417
0BBD6479AF8D12F0E1646566F19012E018C50815606A9BEEB768A03BF20498BA,1,0,1,0,0,1833,9354
0BDB9436EA7647A00A3DC8B82B84CAEE8B3716C45A2453464A3FF90FA2BBEBEF,1,0,0,1,0,1590,7565
0C0F7AF03BD81A9ECE5037E7700F0F3B70926A7F1F50F5B6567B887EDCA3911C,1,0,0,1,0,3196,19581
0C5167BD0AF8F112D5A8300E37DE0DC270844D23232A831BB026FD79C82F89F6,1,1,0,0,0,1498,5093
0C52ED7727731B18719593A9A84E36943C3E4A88543131B6D04343FDEEE0E8E9,1,0,1,0,0,718,2948
0C996A2FB5E438485D29FB9FD60D57ADA2B212D14C2CF48374BFCC8C9521F0A3,1,0,0,1,0,686,2496
0CF5AA7BEF5B8944B4DDF46A599FBBD68352C56E690EBF291833DB3D973DBD4E,1,0,0,1,0,652,2413
0D03EFE006F2A79ED3F86A11DA6217F0414CFCBD2F4C8B8D7757D13B9DF3229B,1,0,1,0,0,1590,7565
0D0F3021029E248D2372B81C60E485316975DF55ADCD1C0E5FFC95AA2B5DEC64,1,1,0,0,0,1590,7565
0D93EB429A00D04031709E4F8246CB2CCE228609CB1AC8B51579040909D33C5C,1,0,0,0,1,837,3726
0DAF094BFEC4C5BFF305A2D9FDEDCA2C879EF0C4E8882F041A2E449BC7B9315A,1,0,0,0,1,1153,5436
0DC5422A8DF3D9991C222817178A84B6BC6A612D9FFC2AAE345911B75EC52D22,1,0,0,0,1,2246,7809
0DC6D828D9FA01BDD4BA4EEDF9BD3534EE3A0FEF01C4841AE760C30734E11CC0,1,0,1,0,0,1590,7565
0DD8FCF594C4CB9467CE270F8D49BF226D2AE74B2512CADC5032075F1CB52D21,1,1,0,0,0,1710,8222
0DE4253B5C8F2550122123B14E03D40AA7102236B146B56A3CC7A8F8648F49BA,1,0,0,1,0,974,3748
0E5EAC975D34EA481FE70AE4A66C9BB1DD519CAF660B23340139070EA95AA1D2,1,0,0,1,0,1597,7580
0E7385661BCFBBDDB335E30D13E16A9502C94AA8143BBDFA386C5247ACB524B4,1,1,0,0,0,781,2993
0E7E6B66183611EBC629C8D2FCF82270B8DA2FEF743201CD744F51FBC3861265,1,1,0,0,0,2829,11942
0EF63C9C168FB8471ADDE4C04FCCA7EED7BCF9326C321E75C053AB0C31B408E9,1,0,0,1,0,2471,9360
0F115E3AE828F7C375DE708E08BEEF1C039CB68C28DC9339ED22FBDA415482AC,1,0,0,0,1,1597,7580
0F1D22D0DF7667252A493720B710980F896FFB095449F31BCA2A6922146EFF73,1,0,1,0,0,855,3694
0F35C0CCFD44648A6BDF2071AE03B324A0E1F95582CDECD5B577BDC90308C7CD,1,1,0,0,0,1590,7565
0F3CAC32FD0A62B872FBE8BA3D93470D9A4C5488DC5226BD89E884A89C211E6B,1,1,0,0,0,1217,5050
0F53487A100C12000A4B5931D4A401CDFBC4749667C57C15271063F30744F68E,1,0,0,0,1,1377,4984
0F55C53FE4585B1B09DC516FCCDCDB9C7CE9B0A329BC4EEDC227BB49DE9545A6,1,1,0,0,0,1337,5645
0F6F0ED6E0FFB867452FAD4EA65A13B1A491A482C1C9540FD1BE3590ADBE8F54,1,0,1,0,0,665,2508
0F7C8B8F65E6017925D4DDE84F259E6738B5C76ACE8A02B329A5FFC87CEF2669,1,0,1,0,0,756,2755
0F890D3A5D7F5BE2185ABD6F51DF9A708C2D80D85BAD74A3EA778A3A8BC3941E,1,0,1,0,0,573,2416
0F8E987901D50D3BF49D8BF7C49D566398B8E6AD16C829A289064999EED77466,1,0,1,0,0,1308,5056
0F8F1D8875AC3DF267C1E446B85AFE8A10FB6CDB308236A9DDE242BC4FAB8D11,1,1,0,0,0,2706,13183
101051538588ABF741105BE72E98D990DED99909FE5A1E421C15CE0685F1618B,1,0,0,1,0,1470,5392
1069100595B2C35760B6CEF3FC36F4CAF830DFF84C4AEFA1291301D0979B9DBD,1,1,0,0,0,1590,7565
1073152702FCC2439E59DC6780C6E8F1B356A01DCF04E863456CF90122798C8F,1,0,0,0,1,998,3811
107441B230D869DA884DF0B14FC28E43F4B7B2FC29E962F2F205151821B4676D,1,0,1,0,0,1555,5323
107D9568FD2576C7CB9BBA701759F112B305CA8E2A98FF7DB3822E324CC13456,1,0,0,0,1,2376,9533
10BB4ACAA5B995F18B9FAB4C81BA29A2E097A02726E3EBA8DCF9B858D1E4466F,1,0,0,0,1,2685,10359
10C7C37091BB12CEDCB0017895A840B17E27B69509021C485B5FFC5CCEE6EF9A,1,0,1,0,0,659,2674
10E4EB26D2248DD60F92C12C93DC1CF534057EED6B1D926664BEC5CE188EF5EF,1,0,0,1,0,724,2666
10FB7BB34F4FD5757D56D997B3C28D3340961FBFEBE477456E7C2335655D8689,1,0,0,1,0,1597,7580
11754AAA0450CC60C1C28D029D6E5556FA98A010741A4C921FADD0D868EA9D8E,1,0,0,0,1,1597,7580
11F292C54B934D94D4E49FAC9B81559EEA2C3BAD8193EBE196426A3B5277E29D,1,0,1,0,0,2666,12563
1211C34D3FC2F4559D171886480F1E14504FD13D0EF6F3C511062ACD2992735F,1,1,0,0,0,3606,18858
12152B7392D1DF519A831C030A57756ADD746EBCC89D0FF4A9967F1F30E90D6C,1,0,1,0,0,988,4627
1240407006467ECD1F3B3FE37B172821EBEAE9EB110A96005D87D6DB3ED10DCB,1,0,0,0,1,2534,11446
129E3FFFD25D47086F4962F9C0F0B50B913739C116086E8853432B672235FF59,1,0,1,0,0,1123,4681
12A826F8C3895FB93FD9FFA320A0A13613DE9BB5F9103E4065813D8EED985117,1,0,0,0,1,3286,12157
12AB4DBEF1CDDB0E63B837FDD10F568B789C941D86B660D15CA77E0C58421E67,1,0,0,0,1,652,2481
12BC4AC9C289F8494B4808D51D70C9FA04A2C3686887431EC2F606BEAF1864AB,1,0,0,0,1,1413,6067
138B1F234A5DED59E5E79F43CC2C6B8910699A36C26A068568976D0666B18777,1,0,1,0,0,1730,6669
13A4352A8FEA3A3BE904615D0689E7DD7FCD9D555AC5D6F1A144DE8D3AB9CF53,1,0,1,0,0,1635,5952
1421DDF2117C03195ED8F072D21C29C8C8A9E78ADCFE3A42E627D8237A0F8755,1,0,0,1,0,1590,7565
142574A5A128D087D61D13380B9735E9E08033B99DD207796F165BB23CCF2541,1,0,0,0,1,2360,8603
142B2A423F8748F402FBB040EE0EB80D5453C004C11BF314D7A665ED159F5CED,1,1,0,0,0,1807,8155
149903040BA324C656925BD71F23B09DA26D14B8239DA0F2DE69F73654BD275F,1,0,0,0,1,3056,13875
14AB0FE736FB9B5992907A7EBA2080A8E62507E7C0FF4B969AE2E4DB11077CF4,1,1,0,0,0,1431,5272
14BE9EE38E90D5024E14DD3A1586E88B5E50ADCD73D949852EE59B281E312953,1,0,0,0,1,1572,5489
1502B830148A850D27D6AA224D5ADDB99A120C844D9D81C8E5A811E84B7F678F,1,0,0,0,1,677,2538
151E45A8FE995C9EE43CF72B85EFD132CC4EE86032C6EC40DB42385E1C5EDA59,1,0,0,0,1,1604,6776
154A530FD220DE5AE02090DC698939D8FC3A1E756A01A87EAE2CC32E175C7169,1,0,0,0,1,1485,7119
15769F3407C6A6CB4A04DB5848D641D9C5AE701F86865CF9F0569404BED7B5B7,1,1,0,0,0,603,1853
1595A28256D7D37CE7EC6B48DB6080EF5B82AF8EF64324584F740F966D87D6FE,1,0,0,0,1,1590,7565
15A096369D42BBA91C06B3EC27626017891CFF2C51E873517302124ACA35D126,1,0,1,0,0,1382,4584
15A1C545F54ABF4ABD0F639EBC39CDA0AFB5008974578BBBF6F28EC9829039F7,1,0,0,0,1,2084,9316
15C62EB95B64A55F3977EE459FF55557CF18CE1104652BBE926AC36AF7C87DB9,1,0,1,0,0,1246,5108
15E6053A0AD454A3EC8131403833FB7CB48594E97346372CF773B80F6BA97EE0,1,1,0,0,0,1813,6577
160E0BDDBCA2C5F7AC986157FA14130E6B34144D74F0460BD735B41A7816EACD,1,1,0,0,0,801,3413
16102B5113C814E504C0B893C53CF7AB199394F3BE95F1651F7F2006366AAEDC,1,0,0,1,0,1803,9148
16AA9B02A55007D249C15A6B456FD2E3C47EC7BAE2683C3FF5F631087AE62C73,1,0,1,0,0,1307,5375
16E47E101F7574175F51B5DBEF7AC76D6F4434AB2AF8FF3087C7AE99101C82DB,1,0,1,0,0,900,3439
172D9858F0979674A4D4218670F561CC915C190DA3C21C4AE35C0240832754FA,1,0,1,0,0,266,741
17358B47362E96DBE6993DCB874ADB20A394589D0A78ABCE15569D07CB1DE9E2,1,0,1,0,0,1572,6237
174CBF3657670265C88F402E3AE2DCC26C816C0BDC31A7FE23298FFB979132C9,1,1,0,0,0,1593,5714
1754918DEB57FBBEFA7CCB78D0D420AFBA630202BBFE68DC87E0DC47A037968E,1,0,1,0,0,884,3722
176B0432251A45069F17AF386410977372F324451F8B262D9DB69A566E1AB388,1,0,0,0,1,1174,5503
17EA9C045FCAD94C3103E8E88E297A545DC2A4AF00F1C525B516744AA22C7A6E,1,0,0,1,0,1736,6354
17FBD5C02AA31EE327DA2363C5CE61D610408103624FBB9EE78BBE350EA474CB,1,0,0,1,0,838,2468
18274E5298877F6AA8ED47FA1F30A55FD25FAE1B56CD783544821FBEDF658D14,1,1,0,0,0,1074,3034
18407A2E57D880A0F98C7C8111F455335A3FC8A2DB2DCAD90EA166D08CF14916,1,1,0,0,0,1632,5039
1855F2CBC0AF96B8D07D04201D2CE8B77FC2C28DAB14640A0D0CDA9B10DE1229,1,1,0,0,0,1597,7580
1858F28FCE4F086E29C35ABE7EB3AFA57D3DAC6809EB3C1F6E4303CCFA2194E9,1,1,0,0,0,2471,9359
1862EDE131BFF9B48A28A99319A506C3E05297F42D2E3D6DC2482D580BA09AA7,1,0,1,0,0,1597,7580
186A96176BAE1B4F37336023AEE0CFDDA81DDB48E956DBAD49417EF3ECC73870,1,0,0,0,1,3122,15324
186CDFB122B8F9B9BBFE89381552C215B3055A34524FBC11A1A669190BC8C581,1,1,0,0,0,2663,8821
18AE8CCDCC210C29B3052F22A02E170CA9F7149AAF6AEC622C8FB616DA670342,1,0,0,1,0,815,3129
18B87ECC5377EB43449CE02C85A3A34965BBC93B1C6E72D050E132F44EF75427,1,1,0,0,0,1329,4576
18CBEE04A2162515F4E62315D724BDE5A8BAB3BAF4D6DD0C0059B391BA82A0B0,1,0,0,1,0,2706,13183
18D17A17400BF791E68D8921258C9C7559E4FC95CC7FF37BEDEE77998AFD2911,1,1,0,0,0,1648,7483
